genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Romance,ScienceFiction,Drama,1,others,others,1,Spikejonze,1
Drama,Romance,no option,53,others,others,1,Jamesgray,4
Drama,History,no option,36,others,others,1,Jean-marcvallée,3
Thriller,no option,no option,32,others,others,1,Toddrobinson,2
Animation,Family,Adventure,5,WaltDisneyPictures,others,1,Klayhall,1
Thriller,Action,Crime,5,others,others,1,Nachovigalondo,2
Romance,Fantasy,Family,1,WaltDisneyPictures,others,1,Kennethbranagh,5
Animation,Family,Adventure,1,Pixar,WaltDisneyPictures,7,Petedocter,2
Thriller,Drama,no option,18,others,others,1,Hernanherrera,1
Horror,Thriller,Mystery,1,others,others,1,Davidgelb,1
Comedy,no option,no option,138,others,others,1,Stevepink,2
Horror,no option,no option,50,others,others,1,Gilkenan,1
Romance,Drama,Music,2,others,others,1,Trishsie,2
Crime,Drama,Thriller,18,others,others,1,Dangilroy,2
Horror,no option,no option,50,others,others,1,Stileswhite,1
Action,Crime,Thriller,31,others,others,1,Pacocabezas,2
Thriller,ScienceFiction,no option,5,others,others,1,Williameubank,2
Comedy,Drama,Romance,32,others,others,1,Andrewfleming,2
Mystery,Thriller,Action,1,others,others,1,Adamwingard,4
Romance,Drama,no option,25,others,others,1,Ginaprince-bythewood,2
Action,Crime,Mystery,1,others,others,1,Jaumecollet-serra,7
Adventure,Family,Fantasy,5,others,WaltDisneyPictures,1,Jamesbobin,4
Horror,Thriller,no option,78,others,others,1,Bradpeyton,4
Thriller,Action,no option,11,others,others,1,Briana.miller,3
Thriller,no option,no option,32,others,others,1,Robcohen,3
Crime,Drama,Thriller,18,others,others,1,J.c.chandor,3
Drama,Comedy,no option,40,others,others,1,Shawnlevy,5
Comedy,no option,no option,138,others,others,1,Kenscott,2
Drama,Romance,no option,53,others,others,2,Michaelhoffman,1
Drama,Music,no option,16,others,others,1,Tatetaylor,4
Comedy,no option,no option,138,others,others,1,Theodoremelfi,2
Horror,Thriller,no option,78,others,others,1,Davidmun,1
Action,Comedy,Crime,12,others,others,1,Paulfeig,6
Horror,Thriller,no option,78,others,others,1,Jamesdemonaco,3
ScienceFiction,Mystery,Thriller,1,others,others,1,Tarsemsingh,3
Family,Adventure,ScienceFiction,1,others,WaltDisneyPictures,1,Davegreen,2
Drama,no option,no option,226,others,others,1,Randallwallace,1
Drama,no option,no option,226,others,others,1,Christopherspencer,1
Thriller,Horror,no option,24,others,others,1,Willcanon,1
Action,Adventure,Animation,2,others,others,1,Kevinmunroe,2
Drama,no option,no option,226,others,others,1,Thomascarter,1
Comedy,no option,no option,138,others,others,1,Frankcoraci,3
Adventure,Comedy,Drama,1,others,others,1,Kenkwapis,2
Drama,no option,no option,226,others,others,1,Ronkrauss,1
Drama,Comedy,no option,40,others,others,1,Zachbraff,2
Comedy,Drama,Romance,32,others,others,1,Woodyallen,8
Drama,no option,no option,226,others,others,1,Jean-marcvallée,3
Action,Comedy,no option,14,others,others,1,Evangoldberg,2
